sin2(2theta_mu4),dm2
0.02408720116948058, 905.479974828431
0.02428225227061253, 780.1841539429091
0.02428225227061253, 650.3418225753426
0.02408720116948058, 507.3863846196342
0.02408720116948058, 352.5558505736151
0.023511398301802676, 284.31434206610965
0.024478882838440744, 249.05995278823124
0.023322539209292996, 211.0742808547008
0.022582151879820885, 178.88203839904654
0.02313519715785277, 151.59963370347904
0.02428225227061253, 135.01752532439463
0.020832387935714344, 122.2556654321299
0.019373826741475596, 112.5472019078005
0.019530710316801585, 90.76231073668262
0.020665048425326866, 63.065909200117794
0.022582151879820885, 54.33916196905089
0.025078379761379815, 49.203023011934334
0.02762682637121347, 46.81997866912908
0.030680691859047465, 43.101950113867865
0.03299049193908033, 38.38741887999956
0.02807606584013359, 30.9570631850976
0.023511398301802676, 28.031000793604377
0.020665048425326866, 25.381509893008623
0.01730528013505999, 23.755819704897796
0.015582763641476616, 21.869342638331247
0.013368866020828818, 20.132672893376412
0.013696274509834114, 17.930542481032504
0.014609100193219498, 16.235747154385454
0.015582763641476616, 13.989125115301762
0.012233921071047458, 12.05337947374396
0.010495805203186022, 11.096206695270904
0.009375166388543875, 10.55878539525547
0.008374178360913406, 9.560768733914747
0.009077546376268147, 7.7101646953427
0.009839992016161342, 7.45916026571311
0.0120381685665455, 6.534239849168008
0.0144917502436564, 6.426998722012182
0.01609366627022997, 5.630064198105684
0.013807182929859841, 4.851003882085441
0.011941470039228134, 4.540296227306948
0.010080977071499329, 3.9773089032375104
0.008579265095983965, 3.6614662118122348
0.006735522301865219, 2.90428354590799
0.006114201606356992, 2.265876001074542
0.005825376412760609, 1.6545726135658902
0.0058725486049892705, 1.1122469718509933
0.0058725486049892705, 0.825729465528258
0.006016369499175366, 0.5459669133725947
0.006114201606356992, 0.39212917720885465
0.006365798531053064, 0.32150435366411184
0.006016369499175366, 0.2770161782980616
0.006574510109978166, 0.21257657251403875
0.005595138716186018, 0.15781633400514386
0.007126719524285487, 0.11334824086917131
0.006845048543538148, 0.09140829878340179
0.005640446510972938, 0.08414946025495487
0.004800217829496318, 0.06786130024130779
0.005686121195013652, 0.05207537949686697
0.004957599662661701, 0.041995551159923816
0.004253256174573537, 0.033866797213295094
0.0036785296056295195, 0.026863222602426535
0.004052339093795735, 0.023146023303525096
0.004685468956339372, 0.021307970873142634
0.00596804204245706, 0.018058160608203606
0.007663255577748452, 0.016624141227902952
0.009077546376268147, 0.014562782163144137
0.010080977071499329, 0.013857464613021894
0.009151053688463093, 0.011939937497737387
0.009527615848819755, 0.009789482933465512
0.008108335285357999, 0.008296428418090657
0.00886054826186883, 0.007267688485585209
0.011941470039228134, 0.006159248419496906
0.015964391304618235, 0.005764747471211267
0.023322539209292996, 0.004967050352906677
0.03379844132689581, 0.004497564628521492
0.04937648157192714, 0.004209494820310606
0.07819336037258526, 0.003567478761686463
0.12382821561415595, 0.0033389811173928554
0.19768420886170254, 0.0030738287723293093
0.26857884623941236, 0.0029737602694809087
0.3533142230948225, 0.0027832903993956558
0.4878274109991525, 0.0027832903993956558
0.5825376412760609, 0.0026926803739553643
0.5161602884881769, 0.0022077124416362117
0.35617525820535045, 0.0022820030564586658
0.24776818196789097, 0.0021007865593930444
0.16959852331144068, 0.0018100901510994239
0.12483094024109814, 0.001559618867731977
0.1160910124979199, 0.001216789926794873
0.12996768297442987, 0.001014285376963706
0.15645728758495325, 0.0008885160919586489
0.1883459201412152, 0.0007783419376830071
0.22310606863057458, 0.0007047730381411222
0.2664214434121982, 0.0005972837484551595
0.30311763821121024, 0.0007913293786830954
0.37991353267136085, 0.0009812653141523123
0.44641348287572, 0.0009033419027793969
0.520340003346779, 0.0009033419027793969
0.6213624560177428, 0.0010836963173462106
0.6417346903332999, 0.000740644592320433
0.6681418134466063, 0.0004015097524933172
0.6627748567503042, 0.0001050898022821537
