sin2(2theta_e4),dm2
0.26926829268292685, 7.520435967302452
0.3492682926829268, 7.520435967302452
0.41073170731707315, 7.493188010899183
0.45951219512195124, 7.479564032697548
0.49560975609756097, 7.452316076294278
0.526829268292683, 7.438692098092643
0.5463414634146342, 7.384196185286103
0.5629268292682926, 7.356948228882834
0.5824390243902439, 7.356948228882834
0.5951219512195122, 7.329700272479564
0.5834146341463414, 7.220708446866485
0.5658536585365853, 7.20708446866485
0.5551219512195122, 7.179836512261581
0.535609756097561, 7.15258855585831
0.5092682926829268, 7.138964577656676
0.4819512195121951, 7.070844686648502
0.45463414634146343, 7.043596730245231
0.4321951219512195, 7.029972752043597
0.3951219512195122, 7.016348773841962
0.3726829268292683, 7.016348773841962
0.3336585365853659, 6.989100817438692
0.29560975609756096, 6.961852861035422
0.24390243902439024, 6.920980926430517
0.18048780487804877, 6.9346049046321525
0.13170731707317074, 6.920980926430517
0.09853658536585366, 6.948228882833788
0.07512195121951219, 6.989100817438692
0.05170731707317073, 7.043596730245231
0.04097560975609756, 7.179836512261581
0.04390243902439024, 7.329700272479564
0.05951219512195122, 7.452316076294278
0.09170731707317073, 7.479564032697548
0.11317073170731708, 7.561307901907357
0.13951219512195123, 7.561307901907357
0.18829268292682927, 7.547683923705722
0.2302439024390244, 7.547683923705722
