sin2(2theta_mue),dm2
0.953280653423096,0.026538758169001694
0.806294145674468,0.02803891435209053
0.6423802909915168,0.03173164137394231
0.6050875007272942,0.036911711188679225
0.5117889550210738,0.036407765886073154
0.42772913273707086,0.040640142668276334
0.3661308835364033,0.04727449145035401
0.30599496872071963,0.04599245235896401
0.22690504696516978,0.05499187244817765
0.15848931924611143,0.06666234655382941
0.12037033813620271,0.07754472118720063
0.10808520081074142,0.07754472118720063
0.08714846464775007,0.09530254044280234
0.05943277027502896,0.10208342294305685
0.04101918365485513,0.1343872939411781
0.03683271785288979,0.15208611014706044
0.025118864315095794,0.18184505372905127
0.02366061201234778,0.2115305673991574
0.01862644052925767,0.26356972435767717
0.016135863368107666,0.33295693091189604
0.014489018303023776,0.4443868448062849
0.012402421688966827,0.5313407620994663
0.010616320618412996,0.5931087462154091
0.007686246100397738,0.7091633267391836
0.005907837911587943,0.8025601874974837
0.00499690736888674,0.8249315436829407
0.004595551764054996,1.0859776704794477
0.005304877072861213,1.179347500779968
0.005564863876983289,1.574036958373054
0.004328761281083062,1.7570176306228769
0.0033271924516277366,2.04384407887034
0.0028823071544203382,2.3130184899663804
0.0020867985173118843,2.9623869852439384
0.002215412212581185,3.3525335626836146
0.002037468528039708,3.6911711188679224
0.002189070458755757,4.235119524940031
0.002037468528039708,4.9946776272424716
0.0017440480323966034,5.730716907647283
0.0015474277814340992,7.648602472676202
0.0018077686769634343,9.662168943241257
0.00249690832532346,10.785389182271135
0.0027476476475318846,13.07428387829531
0.0024088967285183036,16.51621196097855
0.0020619860095022194,19.47835329853227
0.0024088967285183036,30.241060353566407
0.002215412212581185,33.756562021813494
0.0024378837190282276,42.06109715842255
0.0022690504696516976,46.95066966348516
0.00249690832532346,56.914625247413824
0.002380254399901916,60.96416458346496
0.002526954386274699,67.12212104336604
0.002323987384644756,78.07955211415151
0.002323987384644756,95.95984819071144
