sin2(2theta_e4),dm2
1,0.17204444238613983
0.9402081142354657,0.23503580150428982
0.8198261397671794,0.3124966462629795
0.6675263461855521,0.4211605820647093
0.493814112913443,0.6157383035882398
0.3530067628862153,0.9125058148783715
0.20973675213920093,1.726288597992512
0.15304509014738085,2.456291035735722
0.09872161568183457,4.1128080308346515
0.06726761048514877,6.6118654301834345
0.054025951848555916,9.156055040074358
0.04743242245554361,12.173619826042826
0.04552234599579596,15.752483838263974
0.04841730815396401,20.108854619441892
0.05746169494876922,23.986702288983157
0.0740384919309278,29.003123488795723
0.09605319332754203,35.54757790915431
0.11167713516739491,42.98176462132157
0.11167713516739491,50.57972175794429
0.09872161568183457,58.7188598348754
0.07874691869802941,70.99893609361895
0.052206775324871384,87.01960025891623
0.02997387026792039,114.13987903586512
0.016629654232776587,151.7570054233589
0.010365744833798637,224.89935917637536
0.008440091671585874,271.9333324005642
0.00741003129111694,315.69203377737796
0.00741003129111694,342.4598957811927
0.008044913558101614,402.9970941042937
0.012218086460797266,528.5940114182055
0.015851028165274474,605.3860379632445
0.020847880288312103,722.1303717861593
0.0237459214244532,885.0765905110776
0.03080656455633245,1013.6569822006588
0.04339091952414291,1129.8457226425571
0.06368030097173705,1225.646538480133
0.09804763956280597,1293.9851961340985
0.15946672368967382,1311.6571289256178
0.2777500316457384,1311.6571289256178
0.3411202232923432,1462.0036390149044
0.48046643207715967,1543.520914215132
0.6064805086207764,1564.6007518669128
1,1607.628019740476
