sin2(2theta_e4),dm2
0.4984600213560453, 2.432714406874917
0.40956447058962697, 3.8259017490587732
0.3235583459686498, 4.987027081565458
0.2271946520462078, 6.429148796648001
0.12548106586894642, 7.930134906384901
0.0736713415160535, 10.8037155579359
0.04363253307218271, 15.047281079906
0.03117732588821989, 20.95766652532601
0.026760125857260963, 29.189578094165192
0.027231470259392133, 47.45248852241529
0.027112861492102583, 67.56724496156222
0.024416180401594798, 79.74044538830438
0.017446413483873578, 97.27687092253352
0.010560796702978959, 113.54182624901884
0.00593553288722573, 132.52632599817827
0.0039207118825798125, 148.00070663956785
0.0028260824892466325, 170.84957738948373
0.002109456704365841, 217.83592110213422
0.0016234037329868464, 262.82354485569346
0.0014179429830613209, 335.1041884666211
0.0015405568348539588, 422.5706024204125
0.0019331071366916522, 493.2255474805532
0.0024469528012386944, 575.6941900219135
0.003439480812180342, 671.9518121434178
0.004648347400726251, 885.6093768933137
0.006364898306145947, 1022.3328740103134
0.00930508573860996, 1068.506032498706
0.013843064023372566, 1193.269689379476
0.020061789454639333, 1219.9188310127136
0.03050423862123092, 1289.1746307962385
0.0493050036469315, 1303.490630095854
0.06960717822383441, 1261.0125953782378
0.11201833147701604, 1521.4377810058068
0.1802702954937198, 1607.8110606583202
0.3207459175893731, 1555.4158592835402
0.4984600213560453, 1590.1527657025629
