CV:    -1	106.74	90.25	
Univ: 151	108.41	98.56	0.0693	
Univ: 152	100.14	105.78	0.0024	
Univ: 153	111.73	94.47	1.5828	
Univ: 154	108.83	109.37	0.0046	
Univ: 155	120.30	85.87	2.2674	
Univ: 156	110.42	102.89	0.0554	
Univ: 157	114.27	100.27	0.1773	
Univ: 158	110.02	96.50	3.4980	
Univ: 159	101.38	86.23	12.5155	
Univ: 160	104.12	95.91	6.1035	
Univ: 161	114.39	93.77	0.8375	
Univ: 162	110.51	101.31	1.8636	
Univ: 163	106.19	109.55	0.0003	
Univ: 164	97.70	100.13	0.3594	
Univ: 165	104.06	106.76	0.0058	
Univ: 166	81.88	111.86	0.0004	
Univ: 167	128.42	106.33	0.0210	
Univ: 168	109.00	104.63	0.0334	
Univ: 169	116.64	101.39	0.0530	
Univ: 170	90.73	112.97	0.0005	
Univ: 171	88.72	90.85	1.8832	
Univ: 172	114.06	97.96	0.2410	
Univ: 173	117.43	113.54	0.0001	
Univ: 174	122.00	113.69	0.0002	
Univ: 175	111.44	81.20	1.8549	
Univ: 176	106.67	112.52	0.0001	
Univ: 177	96.60	100.62	0.5346	
Univ: 178	107.19	85.59	14.8848	
Univ: 179	80.11	109.37	0.0150	
Univ: 180	111.83	104.52	0.0429	
Univ: 181	118.32	106.47	0.0003	
Univ: 182	101.96	110.69	0.0023	
Univ: 183	109.98	104.73	0.0755	
Univ: 184	92.75	102.37	0.0592	
Univ: 185	114.81	109.07	0.0012	
Univ: 186	128.79	106.03	0.0348	
Univ: 187	125.71	102.76	0.1146	
Univ: 188	107.59	91.23	1.1583	
Univ: 189	149.10	95.25	9.6988	
Univ: 190	109.70	104.46	0.0561	
Univ: 191	93.70	114.70	0.0006	
Univ: 192	119.74	94.45	3.9773	
Univ: 193	115.80	104.08	0.1298	
Univ: 194	113.92	82.85	5.8177	
Univ: 195	114.70	95.95	7.6397	
Univ: 196	113.72	101.26	0.0286	
Univ: 197	103.58	103.09	0.5847	
Univ: 198	102.69	102.95	0.2290	
Univ: 199	99.20	91.48	21.0149	
Univ: 200	98.55	109.56	0.0015	
Univ: 201	97.16	107.04	0.0048	
Univ: 202	120.44	102.25	0.0749	
Univ: 203	104.74	90.67	14.6963	
Univ: 204	125.55	112.36	0.0003	
Univ: 205	106.67	98.99	0.0208	
Univ: 206	89.69	93.98	5.7900	
Univ: 207	129.39	105.24	0.0095	
Univ: 208	97.22	108.13	0.0022	
Univ: 209	126.07	100.32	0.2263	
Univ: 210	136.79	93.75	1.2614	
Univ: 211	101.29	105.01	0.0861	
Univ: 212	114.93	99.33	0.5203	
Univ: 213	107.05	104.90	0.3046	
Univ: 214	96.31	101.92	0.0161	
Univ: 215	113.04	91.26	14.7436	
Univ: 216	91.23	94.11	2.2251	
Univ: 217	96.78	110.54	0.0002	
Univ: 218	101.37	106.79	0.0075	
Univ: 219	101.95	100.49	0.3756	
Univ: 220	116.58	113.38	0.0001	
Univ: 221	108.48	105.58	0.0126	
Univ: 222	99.67	98.48	0.1208	
Univ: 223	110.07	121.76	0.0000	
Univ: 224	137.34	97.07	0.2889	
Univ: 225	100.55	93.20	1.2883	
Univ: 226	126.49	104.64	0.0537	
Univ: 227	105.33	104.43	0.8044	
Univ: 228	92.68	114.05	0.0001	
Univ: 229	131.22	106.59	0.0262	
Univ: 230	112.09	103.88	0.2674	
Univ: 231	100.25	99.19	0.4516	
Univ: 232	124.98	87.99	2.0138	
Univ: 233	109.80	103.66	0.0013	
Univ: 234	105.87	84.73	10.6045	
Univ: 235	120.85	98.33	4.4163	
Univ: 236	126.73	96.52	0.1870	
Univ: 237	101.94	109.25	0.0014	
Univ: 238	106.20	97.18	2.9187	
Univ: 239	112.73	103.73	0.0151	
Univ: 240	113.33	103.73	0.3601	
Univ: 241	121.44	90.29	1.6980	
Univ: 242	121.08	91.17	11.2155	
Univ: 243	105.80	92.55	5.9503	
Univ: 244	99.62	83.77	9.6685	
Univ: 245	101.24	92.89	1.1760	
Univ: 246	95.65	107.28	0.0013	
Univ: 247	105.15	97.70	0.2226	
Univ: 248	112.78	94.94	5.2150	
Univ: 249	124.37	92.78	4.4342	
Univ: 250	108.37	94.85	0.7946	
Univ: 251	122.72	105.77	0.0585	
Univ: 252	102.57	92.17	6.2176	
Univ: 253	99.00	107.38	0.1765	
Univ: 254	108.42	91.54	6.3874	
Univ: 255	109.04	97.83	0.4716	
Univ: 256	111.43	109.54	0.0414	
Univ: 257	102.54	100.95	0.1362	
Univ: 258	110.87	105.55	0.0151	
Univ: 259	104.33	108.22	0.0202	
Univ: 260	127.45	107.82	0.0034	
Univ: 261	98.25	106.49	0.0074	
Univ: 262	95.60	106.20	0.0028	
Univ: 263	133.01	87.15	14.7964	
Univ: 264	89.43	103.99	0.0607	
Univ: 265	117.30	109.86	0.0215	
