CV:    -1	85.96	76.43	
Univ: 151	87.34	84.24	0.0693	
Univ: 152	80.55	88.97	0.0024	
Univ: 153	85.97	78.95	1.5828	
Univ: 154	84.66	84.78	0.0046	
Univ: 155	94.84	72.25	2.2674	
Univ: 156	82.46	84.11	0.0554	
Univ: 157	91.63	81.04	0.1773	
Univ: 158	87.34	79.99	3.4980	
Univ: 159	84.92	76.32	12.5155	
Univ: 160	87.48	76.56	6.1035	
Univ: 161	83.76	81.89	0.8375	
Univ: 162	89.82	79.94	1.8636	
Univ: 163	85.51	89.11	0.0003	
Univ: 164	85.08	82.00	0.3594	
Univ: 165	81.95	84.50	0.0058	
Univ: 166	73.81	88.00	0.0004	
Univ: 167	93.36	83.36	0.0210	
Univ: 168	88.30	83.72	0.0334	
Univ: 169	86.85	85.68	0.0530	
Univ: 170	77.49	88.26	0.0005	
Univ: 171	81.73	77.40	1.8832	
Univ: 172	90.20	80.17	0.2410	
Univ: 173	94.43	89.52	0.0001	
Univ: 174	90.26	90.58	0.0002	
Univ: 175	91.93	70.24	1.8549	
Univ: 176	87.63	90.00	0.0001	
Univ: 177	78.89	80.67	0.5346	
Univ: 178	86.52	76.92	14.8848	
Univ: 179	69.44	89.30	0.0150	
Univ: 180	85.42	84.05	0.0429	
Univ: 181	87.40	91.07	0.0003	
Univ: 182	81.92	88.16	0.0023	
Univ: 183	90.86	86.60	0.0755	
Univ: 184	79.31	82.63	0.0592	
Univ: 185	86.40	87.34	0.0012	
Univ: 186	99.16	83.72	0.0348	
Univ: 187	96.53	81.73	0.1146	
Univ: 188	85.63	79.48	1.1583	
Univ: 189	104.97	76.73	9.6988	
Univ: 190	90.12	84.69	0.0561	
Univ: 191	76.02	87.13	0.0006	
Univ: 192	94.25	77.95	3.9773	
Univ: 193	87.07	80.99	0.1298	
Univ: 194	87.30	76.22	5.8177	
Univ: 195	90.44	75.23	7.6397	
Univ: 196	86.15	84.68	0.0286	
Univ: 197	85.40	78.69	0.5847	
Univ: 198	83.00	84.18	0.2290	
Univ: 199	81.98	74.10	21.0149	
Univ: 200	82.31	87.87	0.0015	
Univ: 201	78.67	86.90	0.0048	
Univ: 202	91.63	86.12	0.0749	
Univ: 203	83.14	74.35	14.6963	
Univ: 204	98.64	86.61	0.0003	
Univ: 205	84.17	85.43	0.0208	
Univ: 206	78.85	79.11	5.7900	
Univ: 207	91.98	86.15	0.0095	
Univ: 208	82.54	87.34	0.0022	
Univ: 209	95.50	80.49	0.2263	
Univ: 210	105.67	74.51	1.2614	
Univ: 211	85.04	83.97	0.0861	
Univ: 212	91.02	86.07	0.5203	
Univ: 213	85.69	83.19	0.3046	
Univ: 214	77.08	84.91	0.0161	
Univ: 215	86.17	78.02	14.7436	
Univ: 216	75.66	77.26	2.2251	
Univ: 217	80.56	87.78	0.0002	
Univ: 218	84.73	83.25	0.0075	
Univ: 219	87.26	79.96	0.3756	
Univ: 220	88.53	88.79	0.0001	
Univ: 221	86.21	84.91	0.0126	
Univ: 222	80.51	82.39	0.1208	
Univ: 223	86.23	91.78	0.0000	
Univ: 224	104.44	85.60	0.2889	
Univ: 225	86.88	77.90	1.2883	
Univ: 226	97.77	83.38	0.0537	
Univ: 227	85.89	80.73	0.8044	
Univ: 228	77.36	88.18	0.0001	
Univ: 229	105.44	87.50	0.0262	
Univ: 230	88.33	83.44	0.2674	
Univ: 231	81.68	83.80	0.4516	
Univ: 232	98.61	78.48	2.0138	
Univ: 233	86.07	87.52	0.0013	
Univ: 234	87.00	76.64	10.6045	
Univ: 235	90.26	78.53	4.4163	
Univ: 236	94.35	84.94	0.1870	
Univ: 237	86.93	87.93	0.0014	
Univ: 238	84.94	76.58	2.9187	
Univ: 239	89.18	87.30	0.0151	
Univ: 240	86.73	81.39	0.3601	
Univ: 241	95.47	80.65	1.6980	
Univ: 242	92.49	79.60	11.2155	
Univ: 243	85.60	78.78	5.9503	
Univ: 244	87.70	76.17	9.6685	
Univ: 245	85.31	80.51	1.1760	
Univ: 246	77.10	86.30	0.0013	
Univ: 247	82.24	83.25	0.2226	
Univ: 248	92.73	76.97	5.2150	
Univ: 249	96.03	79.99	4.4342	
Univ: 250	91.83	79.89	0.7946	
Univ: 251	91.44	86.05	0.0585	
