CV:    -1	647.13	606.76	
Univ: 151	669.34	531.92	0.0693	
Univ: 152	664.82	622.11	0.0024	
Univ: 153	635.40	597.19	1.5828	
Univ: 154	644.59	639.24	0.0046	
Univ: 155	684.32	550.81	2.2674	
Univ: 156	632.55	602.09	0.0554	
Univ: 157	656.87	645.96	0.1773	
Univ: 158	659.94	618.92	3.4980	
Univ: 159	710.46	582.35	12.5155	
Univ: 160	613.57	601.23	6.1035	
Univ: 161	592.81	633.27	0.8375	
Univ: 162	750.89	567.32	1.8636	
Univ: 163	620.94	633.43	0.0003	
Univ: 164	659.37	660.83	0.3594	
Univ: 165	596.22	647.41	0.0058	
Univ: 166	566.84	603.58	0.0004	
Univ: 167	739.50	599.17	0.0210	
Univ: 168	628.13	678.45	0.0334	
Univ: 169	663.63	619.62	0.0530	
Univ: 170	575.68	686.12	0.0005	
Univ: 171	644.14	560.08	1.8832	
Univ: 172	710.75	639.23	0.2410	
Univ: 173	731.69	663.65	0.0001	
Univ: 174	719.00	706.64	0.0002	
Univ: 175	664.92	531.81	1.8549	
Univ: 176	690.20	676.80	0.0001	
Univ: 177	641.34	632.29	0.5346	
Univ: 178	700.62	592.46	14.8848	
Univ: 179	538.93	665.33	0.0150	
Univ: 180	627.09	634.90	0.0429	
Univ: 181	734.66	684.78	0.0003	
Univ: 182	691.94	643.70	0.0023	
Univ: 183	626.84	636.90	0.0755	
Univ: 184	564.66	630.94	0.0592	
Univ: 185	660.55	674.70	0.0012	
Univ: 186	739.93	671.55	0.0348	
Univ: 187	764.73	612.33	0.1146	
Univ: 188	657.47	580.89	1.1583	
Univ: 189	753.61	605.14	9.6988	
Univ: 190	578.03	664.20	0.0561	
Univ: 191	606.41	633.90	0.0006	
Univ: 192	683.58	567.63	3.9773	
Univ: 193	669.07	660.97	0.1298	
Univ: 194	625.93	608.44	5.8177	
Univ: 195	664.40	612.15	7.6397	
Univ: 196	721.62	668.62	0.0286	
Univ: 197	583.34	590.05	0.5847	
Univ: 198	588.45	658.43	0.2290	
Univ: 199	665.50	604.81	21.0149	
Univ: 200	587.93	637.76	0.0015	
Univ: 201	629.00	625.56	0.0048	
Univ: 202	721.53	681.01	0.0749	
Univ: 203	684.97	625.41	14.6963	
Univ: 204	696.60	684.56	0.0003	
Univ: 205	575.96	635.73	0.0208	
Univ: 206	605.95	627.23	5.7900	
Univ: 207	704.38	592.94	0.0095	
Univ: 208	603.96	616.73	0.0022	
Univ: 209	724.21	578.24	0.2263	
Univ: 210	686.09	542.95	1.2614	
Univ: 211	619.09	672.37	0.0861	
Univ: 212	698.60	640.64	0.5203	
Univ: 213	702.20	634.63	0.3046	
Univ: 214	636.51	653.30	0.0161	
Univ: 215	687.26	581.64	14.7436	
Univ: 216	606.42	561.05	2.2251	
Univ: 217	564.61	629.51	0.0002	
Univ: 218	613.57	628.48	0.0075	
Univ: 219	647.05	628.91	0.3756	
Univ: 220	710.29	615.24	0.0001	
Univ: 221	727.26	657.81	0.0126	
Univ: 222	619.14	597.79	0.1208	
Univ: 223	659.66	673.63	0.0000	
Univ: 224	730.74	583.06	0.2889	
Univ: 225	648.19	571.72	1.2883	
Univ: 226	774.41	621.35	0.0537	
Univ: 227	680.44	658.65	0.8044	
Univ: 228	660.13	679.72	0.0001	
Univ: 229	765.99	679.37	0.0262	
Univ: 230	629.41	616.66	0.2674	
Univ: 231	564.20	663.51	0.4516	
Univ: 232	646.48	606.58	2.0138	
Univ: 233	697.94	569.34	0.0013	
Univ: 234	629.81	574.66	10.6045	
Univ: 235	700.97	652.91	4.4163	
Univ: 236	720.41	627.10	0.1870	
Univ: 237	671.12	646.13	0.0014	
Univ: 238	635.23	606.93	2.9187	
Univ: 239	633.53	655.07	0.0151	
Univ: 240	642.30	642.33	0.3601	
Univ: 241	686.74	635.08	1.6980	
Univ: 242	634.41	619.88	11.2155	
Univ: 243	665.36	590.63	5.9503	
Univ: 244	652.95	580.99	9.6685	
Univ: 245	673.09	599.24	1.1760	
Univ: 246	610.12	704.56	0.0013	
Univ: 247	669.16	668.74	0.2226	
Univ: 248	609.35	624.53	5.2150	
Univ: 249	748.09	602.23	4.4342	
Univ: 250	599.10	625.29	0.7946	
Univ: 251	618.95	618.84	0.0585	
Univ: 252	656.18	617.81	6.2176	
Univ: 253	598.54	669.71	0.1765	
Univ: 254	642.46	623.42	6.3874	
Univ: 255	665.55	589.16	0.4716	
Univ: 256	619.46	645.48	0.0414	
Univ: 257	615.16	563.90	0.1362	
Univ: 258	669.91	604.32	0.0151	
Univ: 259	645.41	589.26	0.0202	
Univ: 260	648.14	672.65	0.0034	
Univ: 261	614.52	623.26	0.0074	
Univ: 262	649.87	630.73	0.0028	
Univ: 263	692.93	591.52	14.7964	
Univ: 264	670.51	643.40	0.0607	
Univ: 265	708.58	628.82	0.0215	
Univ: 266	627.50	602.09	6.8750	
Univ: 267	584.76	628.70	1.6141	
Univ: 268	598.89	673.71	0.0536	
Univ: 269	660.94	614.18	0.0009	
Univ: 270	640.82	588.30	17.6768	
Univ: 271	684.85	631.96	0.7679	
Univ: 272	688.42	690.04	0.0000	
Univ: 273	591.82	644.47	2.1786	
Univ: 274	622.07	573.09	0.0592	
Univ: 275	667.23	620.12	4.0765	
Univ: 276	675.90	658.25	0.0000	
Univ: 277	654.09	675.86	0.0674	
Univ: 278	569.36	536.05	2.0462	
Univ: 279	698.47	663.82	0.0007	
Univ: 280	757.64	616.94	0.9124	
Univ: 281	610.65	642.68	11.1783	
Univ: 282	666.01	700.29	0.3769	
Univ: 283	583.09	639.79	0.7524	
Univ: 284	626.04	592.21	1.1459	
Univ: 285	602.80	539.43	0.4202	
Univ: 286	651.08	614.34	0.3485	
Univ: 287	641.69	656.37	8.6603	
Univ: 288	654.53	544.96	0.2390	
Univ: 289	689.53	611.68	3.0062	
Univ: 290	605.08	603.75	0.0157	
Univ: 291	593.23	684.85	0.0417	
Univ: 292	718.25	648.38	0.0059	
Univ: 293	688.40	675.56	0.0007	
Univ: 294	618.96	593.17	0.4264	
Univ: 295	704.07	615.05	2.0081	
Univ: 296	671.85	685.96	0.0023	
Univ: 297	618.40	652.97	16.8349	
Univ: 298	726.95	616.49	4.0699	
Univ: 299	685.80	644.01	0.3898	
Univ: 300	677.27	664.28	0.0543	
Univ: 301	713.89	621.42	0.0024	
Univ: 302	643.74	502.85	0.0122	
Univ: 303	676.09	569.57	0.0042	
Univ: 304	629.90	588.81	3.2037	
Univ: 305	642.29	662.69	0.0186	
Univ: 306	597.97	637.77	0.6695	
Univ: 307	662.23	635.41	0.8105	
Univ: 308	552.54	633.58	0.2080	
Univ: 309	531.92	659.83	1.5607	
Univ: 310	720.77	621.34	7.1465	
Univ: 311	609.10	649.47	0.0209	
Univ: 312	622.11	657.96	0.0804	
Univ: 313	597.19	609.12	4.3513	
Univ: 314	660.49	631.06	0.0067	
Univ: 315	699.76	632.11	0.0063	
Univ: 316	692.25	589.40	1.6807	
Univ: 317	639.24	564.40	0.2922	
Univ: 318	550.81	635.80	0.0008	
Univ: 319	602.09	612.93	13.8434	
Univ: 320	645.96	615.58	0.1130	
Univ: 321	618.92	587.39	0.2586	
Univ: 322	582.35	661.06	1.1302	
Univ: 323	747.58	635.89	0.9110	
Univ: 324	601.23	638.75	0.1457	
Univ: 325	697.21	611.16	0.0327	
Univ: 326	633.27	596.07	0.0002	
Univ: 327	674.16	667.57	0.0201	
Univ: 328	671.48	593.95	0.8027	
Univ: 329	567.32	604.68	0.4880	
Univ: 330	633.43	640.66	0.1981	
Univ: 331	660.83	618.16	0.0477	
Univ: 332	673.19	653.98	0.0125	
Univ: 333	717.60	611.62	0.2264	
Univ: 334	689.09	648.28	13.6813	
Univ: 335	681.48	662.89	0.0244	
Univ: 336	647.41	523.20	0.0887	
Univ: 337	603.58	609.33	16.7803	
Univ: 338	599.17	617.17	22.4286	
Univ: 339	667.80	696.91	0.1759	
Univ: 340	678.45	625.33	0.8105	
Univ: 341	613.73	591.98	0.4612	
Univ: 342	619.62	583.83	0.0024	
Univ: 343	686.12	652.24	0.0735	
Univ: 344	626.85	573.03	2.7639	
Univ: 345	560.08	603.10	0.5048	
Univ: 346	713.26	579.50	0.1904	
Univ: 347	669.00	600.51	0.1014	
Univ: 348	716.01	577.49	0.6703	
Univ: 349	639.23	674.83	0.0007	
Univ: 350	664.70	594.59	5.6875	
Univ: 351	663.65	622.86	0.6352	
Univ: 352	741.51	592.51	1.1435	
Univ: 353	706.64	596.88	0.2372	
Univ: 354	531.81	661.90	0.6716	
Univ: 355	663.30	648.81	0.0343	
Univ: 356	666.83	562.61	4.7618	
Univ: 357	718.92	620.68	5.4689	
Univ: 358	676.80	633.42	0.0030	
Univ: 359	632.29	624.82	0.0117	
Univ: 360	592.46	582.74	0.0235	
Univ: 361	737.00	602.21	1.1331	
Univ: 362	665.33	540.04	0.9613	
Univ: 363	710.91	598.51	0.0174	
Univ: 364	657.96	596.63	0.0000	
Univ: 365	634.90	639.73	0.0001	
Univ: 366	684.78	605.90	0.0169	
Univ: 367	675.40	608.33	1.5290	
Univ: 368	643.70	588.35	0.9813	
Univ: 369	636.90	611.18	2.7365	
Univ: 370	654.00	581.93	9.0738	
Univ: 371	630.94	645.28	0.0482	
Univ: 372	730.61	629.52	0.0086	
Univ: 373	674.70	629.94	0.0240	
Univ: 374	611.16	725.35	0.0307	
Univ: 375	656.25	663.77	0.0291	
Univ: 376	671.55	588.00	0.1758	
Univ: 377	606.86	619.08	2.3611	
Univ: 378	612.33	638.43	0.3195	
Univ: 379	651.59	623.65	0.4178	
Univ: 380	691.32	647.86	3.8291	
Univ: 381	580.89	591.79	7.2453	
Univ: 382	605.14	553.47	0.0675	
Univ: 383	701.44	638.78	11.9961	
Univ: 384	664.20	600.98	1.9574	
Univ: 385	633.90	702.60	0.0026	
Univ: 386	613.75	603.58	0.4697	
Univ: 387	567.63	659.32	0.0113	
Univ: 388	660.97	605.48	0.8464	
Univ: 389	677.01	674.55	0.1145	
Univ: 390	608.44	601.91	3.0815	
Univ: 391	729.57	588.71	8.0480	
Univ: 392	636.92	645.79	0.0045	
Univ: 393	678.06	641.21	0.0063	
Univ: 394	612.15	608.22	0.0012	
Univ: 395	668.62	625.07	1.2843	
Univ: 396	732.37	612.04	0.0033	
Univ: 397	590.05	540.12	0.1930	
Univ: 398	678.91	656.62	0.1864	
Univ: 399	694.40	586.48	0.0000	
Univ: 400	617.67	617.63	0.6373	
Univ: 401	652.52	643.42	0.1288	
Univ: 402	658.43	560.11	0.2784	
Univ: 403	604.81	591.66	0.0311	
Univ: 404	700.61	635.37	0.1043	
Univ: 405	716.71	624.61	0.5650	
Univ: 406	648.97	644.52	3.2724	
Univ: 407	665.18	608.34	0.1049	
Univ: 408	674.11	613.31	0.4202	
Univ: 409	650.45	662.18	0.1785	
Univ: 410	611.69	674.30	2.0844	
Univ: 411	663.27	683.03	0.0039	
Univ: 412	637.76	626.19	0.0053	
Univ: 413	625.56	686.92	0.0264	
Univ: 414	688.30	603.82	5.8217	
Univ: 415	681.01	577.94	1.3046	
Univ: 416	686.87	611.43	0.0720	
Univ: 417	666.72	598.57	0.5362	
Univ: 418	625.41	597.29	0.1466	
Univ: 419	671.34	651.81	0.0033	
Univ: 420	684.56	620.36	0.0010	
Univ: 421	635.73	706.11	0.0019	
Univ: 422	671.69	644.98	0.0023	
Univ: 423	610.38	636.79	0.2383	
Univ: 424	627.23	605.20	0.0138	
Univ: 425	592.94	667.39	0.0124	
Univ: 426	656.26	620.08	0.1004	
Univ: 427	690.53	578.35	0.0042	
Univ: 428	655.03	578.18	8.1962	
Univ: 429	616.73	618.71	0.2314	
Univ: 430	578.24	661.46	0.1158	
Univ: 431	705.94	541.54	0.9368	
Univ: 432	542.95	579.45	0.0321	
Univ: 433	672.37	595.03	2.4206	
Univ: 434	640.64	651.01	0.0010	
Univ: 435	836.72	599.36	0.0104	
Univ: 436	662.17	632.56	0.8342	
Univ: 437	715.95	628.78	1.5669	
Univ: 438	634.63	674.87	0.0014	
Univ: 439	653.30	733.72	0.0006	
Univ: 440	581.64	681.17	0.0260	
Univ: 441	561.05	598.99	0.2629	
Univ: 442	677.80	639.82	5.9711	
Univ: 443	629.51	592.71	0.1965	
Univ: 444	628.48	567.54	0.0702	
Univ: 445	745.74	671.60	1.1415	
Univ: 446	656.04	605.38	23.9161	
Univ: 447	628.91	706.03	0.0000	
Univ: 448	615.24	661.55	13.9463	
Univ: 449	619.85	674.45	0.3023	
Univ: 450	680.52	691.62	0.4548	
Univ: 451	657.81	637.78	2.1815	
Univ: 452	597.79	620.12	0.5119	
Univ: 453	706.29	610.32	2.7943	
Univ: 454	752.06	599.00	21.1727	
Univ: 455	673.63	672.27	0.0056	
Univ: 456	583.06	600.08	0.1038	
Univ: 457	713.12	570.99	0.5594	
Univ: 458	611.15	605.87	0.0016	
Univ: 459	663.64	613.22	5.8157	
Univ: 460	571.72	500.82	0.1335	
Univ: 461	621.35	631.74	12.6646	
Univ: 462	658.65	586.28	0.8824	
Univ: 463	679.72	628.14	0.0962	
Univ: 464	679.37	644.28	0.0430	
Univ: 465	616.66	661.49	4.3050	
Univ: 466	617.26	606.23	0.0151	
Univ: 467	690.11	644.25	0.0700	
Univ: 468	663.51	616.54	0.0137	
Univ: 469	606.58	687.40	0.0001	
Univ: 470	569.34	692.82	0.0072	
Univ: 471	666.62	562.06	0.0269	
Univ: 472	574.66	606.81	0.0296	
Univ: 473	741.76	672.73	3.3365	
Univ: 474	652.91	559.05	1.4278	
Univ: 475	627.10	635.39	2.7681	
Univ: 476	646.13	579.70	1.8295	
Univ: 477	600.46	618.40	0.0737	
Univ: 478	669.66	683.77	0.5887	
Univ: 479	680.07	621.84	0.7016	
Univ: 480	606.93	654.27	0.0231	
Univ: 481	611.89	612.14	0.0007	
Univ: 482	655.07	604.97	6.6250	
Univ: 483	667.53	619.08	14.3099	
Univ: 484	706.15	594.41	0.0185	
Univ: 485	747.54	670.11	0.2753	
Univ: 486	642.33	648.46	0.3365	
Univ: 487	630.14	629.76	3.5359	
Univ: 488	635.08	632.23	0.0021	
Univ: 489	619.88	647.90	0.0742	
Univ: 490	590.63	623.09	0.0538	
Univ: 491	580.99	716.90	0.0108	
Univ: 492	599.24	589.02	0.2402	
Univ: 493	689.35	684.07	0.1317	
Univ: 494	704.56	610.73	1.3161	
Univ: 495	668.74	602.79	6.9599	
Univ: 496	624.53	659.10	0.0072	
Univ: 497	718.31	574.01	0.0922	
Univ: 498	658.85	663.18	0.0177	
Univ: 499	654.54	625.47	0.0037	
Univ: 500	711.76	658.40	0.0312	
Univ: 501	602.23	602.95	0.0000	
Univ: 502	625.29	686.09	0.0000	
Univ: 503	618.84	674.23	0.0000	
Univ: 504	657.64	679.35	0.0005	
Univ: 505	617.81	688.80	0.0000	
Univ: 506	669.71	674.68	0.0001	
Univ: 507	623.42	680.77	0.0000	
Univ: 508	589.16	687.23	0.0000	
Univ: 509	648.40	654.22	0.0001	
Univ: 510	766.37	665.64	0.0000	
Univ: 511	674.14	724.40	0.0000	
Univ: 512	645.48	634.70	0.0000	
Univ: 513	643.76	657.95	0.0000	
Univ: 514	563.90	639.42	0.0018	
Univ: 515	604.32	651.76	0.0000	
Univ: 516	589.26	661.40	0.0126	
Univ: 517	680.72	632.85	0.0067	
Univ: 518	744.45	709.99	0.0000	
Univ: 519	669.61	634.60	0.0000	
Univ: 520	672.65	698.53	0.0000	
Univ: 521	623.26	659.40	0.0000	
Univ: 522	630.73	780.04	0.0000	
Univ: 523	703.60	654.92	0.0000	
Univ: 524	717.50	658.42	0.0000	
Univ: 525	641.24	632.56	0.1034	
Univ: 526	723.20	653.54	0.0001	
Univ: 527	656.99	655.20	0.0035	
Univ: 528	591.52	659.87	0.0002	
Univ: 529	643.40	711.07	0.0000	
Univ: 530	675.32	664.88	0.0000	
Univ: 531	628.82	685.53	0.0002	
Univ: 532	641.03	691.36	0.0000	
Univ: 533	655.27	662.35	0.0011	
Univ: 534	602.09	690.59	0.0000	
Univ: 535	670.68	647.19	0.0001	
Univ: 536	717.74	605.04	0.0119	
Univ: 537	628.70	645.51	0.0003	
Univ: 538	602.16	600.65	0.0240	
Univ: 539	608.35	641.65	0.0002	
Univ: 540	706.85	662.16	0.0068	
Univ: 541	649.65	701.50	0.0000	
Univ: 542	673.71	670.46	0.0011	
Univ: 543	614.18	703.73	0.0000	
Univ: 544	588.30	704.24	0.0000	
Univ: 545	670.54	646.45	0.0000	
Univ: 546	631.96	707.23	0.0000	
Univ: 547	690.04	698.33	0.0000	
Univ: 548	644.47	690.69	0.0000	
Univ: 549	668.67	656.58	0.0000	
Univ: 550	573.09	720.11	0.0000	
Univ: 551	620.12	657.02	0.0000	
Univ: 552	658.25	708.32	0.0001	
Univ: 553	757.64	603.39	0.0000	
Univ: 554	694.95	657.93	0.0000	
Univ: 555	675.86	702.97	0.0000	
Univ: 556	536.05	624.54	0.0000	
Univ: 557	663.15	677.47	0.0001	
Univ: 558	663.82	615.25	0.0003	
Univ: 559	674.01	724.33	0.0000	
Univ: 560	616.94	662.70	0.0000	
