CV:    -1	1182.84	1065.00	
Univ: 138	1201.38	1110.78	4.9736	
Univ: 139	1118.64	1172.53	0.0012	
Univ: 140	1063.43	1120.53	0.0367	
Univ: 141	1173.63	1119.11	0.2020	
Univ: 142	1135.20	1141.88	0.0157	
Univ: 143	1159.19	1166.46	0.0000	
Univ: 144	1295.15	1134.98	0.0557	
Univ: 145	1059.24	1177.39	0.0159	
Univ: 146	1245.38	1150.33	0.4268	
Univ: 147	1175.92	1111.29	1.3398	
Univ: 148	1237.18	1055.79	30.7099	
Univ: 149	1099.21	1094.68	6.3116	
Univ: 150	1230.88	1066.28	0.4250	
Univ: 151	1162.67	1073.83	0.0693	
Univ: 152	1166.61	1180.67	0.0024	
Univ: 153	1221.11	1116.92	1.5828	
Univ: 154	1099.41	1143.78	0.0046	
Univ: 155	1256.37	992.00	2.2674	
Univ: 156	1181.19	1179.17	0.0554	
Univ: 157	1259.80	1177.21	0.1773	
Univ: 158	1250.08	1098.06	3.4980	
Univ: 159	1220.12	1087.00	12.5155	
Univ: 160	1218.09	1092.54	6.1035	
Univ: 161	1151.30	1151.99	0.8375	
Univ: 162	1275.84	1103.24	1.8636	
Univ: 163	1120.12	1190.45	0.0003	
Univ: 164	1169.68	1160.11	0.3594	
Univ: 165	1132.13	1168.66	0.0058	
Univ: 166	1022.27	1164.31	0.0004	
Univ: 167	1305.20	1136.25	0.0210	
Univ: 168	1147.67	1171.09	0.0334	
Univ: 169	1190.58	1149.68	0.0530	
Univ: 170	1147.55	1187.47	0.0005	
Univ: 171	1090.66	1099.27	1.8832	
Univ: 172	1259.25	1150.07	0.2410	
Univ: 173	1322.98	1194.58	0.0001	
Univ: 174	1251.28	1172.99	0.0002	
Univ: 175	1202.51	1020.99	1.8549	
Univ: 176	1143.11	1187.60	0.0001	
Univ: 177	1048.69	1145.45	0.5346	
Univ: 178	1152.62	1076.40	14.8848	
Univ: 179	989.94	1153.26	0.0150	
Univ: 180	1199.02	1115.03	0.0429	
Univ: 181	1229.77	1184.60	0.0003	
Univ: 182	1136.15	1175.84	0.0023	
Univ: 183	1244.88	1135.70	0.0755	
Univ: 184	1077.83	1136.61	0.0592	
Univ: 185	1181.76	1153.08	0.0012	
Univ: 186	1404.90	1161.50	0.0348	
Univ: 187	1353.11	1119.14	0.1146	
Univ: 188	1199.61	1135.44	1.1583	
Univ: 189	1414.83	1043.56	9.6988	
Univ: 190	1146.10	1168.57	0.0561	
Univ: 191	1057.44	1191.65	0.0006	
Univ: 192	1278.26	1079.16	3.9773	
Univ: 193	1223.03	1148.61	0.1298	
Univ: 194	1161.07	1095.31	5.8177	
Univ: 195	1259.87	1105.56	7.6397	
Univ: 196	1194.90	1180.45	0.0286	
Univ: 197	1205.04	1079.45	0.5847	
Univ: 198	1123.37	1117.17	0.2290	
Univ: 199	1205.82	1064.33	21.0149	
Univ: 200	1135.90	1175.64	0.0015	
Univ: 201	1104.31	1169.76	0.0048	
Univ: 202	1301.37	1147.21	0.0749	
Univ: 203	1162.47	1062.13	14.6963	
Univ: 204	1388.62	1169.04	0.0003	
Univ: 205	1131.05	1186.01	0.0208	
Univ: 206	1129.67	1103.74	5.7900	
Univ: 207	1246.73	1181.01	0.0095	
Univ: 208	1058.80	1183.35	0.0022	
Univ: 209	1287.88	1104.39	0.2263	
Univ: 210	1439.56	1051.71	1.2614	
Univ: 211	1173.02	1161.53	0.0861	
Univ: 212	1243.10	1161.27	0.5203	
Univ: 213	1220.43	1133.91	0.3046	
Univ: 214	1079.56	1134.83	0.0161	
Univ: 215	1267.82	1059.43	14.7436	
Univ: 216	1075.84	1082.83	2.2251	
Univ: 217	1074.70	1190.62	0.0002	
Univ: 218	1111.39	1183.65	0.0075	
Univ: 219	1240.64	1129.76	0.3756	
Univ: 220	1273.70	1190.88	0.0001	
Univ: 221	1195.23	1163.76	0.0126	
Univ: 222	1072.09	1094.93	0.1208	
Univ: 223	1170.87	1155.61	0.0000	
Univ: 224	1511.18	1129.83	0.2889	
Univ: 225	1206.80	1087.40	1.2883	
Univ: 226	1330.76	1181.82	0.0537	
Univ: 227	1163.10	1098.75	0.8044	
Univ: 228	1073.64	1188.02	0.0001	
Univ: 229	1475.48	1154.56	0.0262	
Univ: 230	1177.42	1157.51	0.2674	
Univ: 231	1181.52	1118.08	0.4516	
Univ: 232	1318.10	1121.39	2.0138	
Univ: 233	1190.93	1149.37	0.0013	
Univ: 234	1209.66	1053.51	10.6045	
Univ: 235	1234.92	1115.21	4.4163	
Univ: 236	1384.28	1162.67	0.1870	
Univ: 237	1234.90	1161.21	0.0014	
Univ: 238	1125.51	1125.78	2.9187	
Univ: 239	1230.77	1155.61	0.0151	
