CV:    -1	3.24	2.78	
Univ: 151	3.92	3.46	0.0693	
Univ: 152	2.95	3.18	0.0024	
Univ: 153	3.13	2.69	1.5828	
Univ: 154	3.74	3.40	0.0046	
Univ: 155	3.55	2.68	2.2674	
Univ: 156	3.00	3.29	0.0554	
Univ: 157	3.51	3.01	0.1773	
Univ: 158	2.91	3.19	3.4980	
Univ: 159	2.98	2.60	12.5155	
Univ: 160	2.95	2.64	6.1035	
Univ: 161	3.04	2.94	0.8375	
Univ: 162	3.41	3.02	1.8636	
Univ: 163	3.61	3.21	0.0003	
Univ: 164	3.12	3.13	0.3594	
Univ: 165	3.25	3.54	0.0058	
Univ: 166	2.40	3.58	0.0004	
Univ: 167	3.46	3.13	0.0210	
Univ: 168	3.46	3.00	0.0334	
Univ: 169	3.61	3.18	0.0530	
Univ: 170	2.63	3.57	0.0005	
Univ: 171	3.31	2.92	1.8832	
Univ: 172	3.15	2.91	0.2410	
Univ: 173	3.94	3.29	0.0001	
Univ: 174	3.67	3.62	0.0002	
Univ: 175	3.90	2.16	1.8549	
Univ: 176	3.58	3.49	0.0001	
Univ: 177	3.11	3.03	0.5346	
Univ: 178	3.39	2.72	14.8848	
Univ: 179	2.36	4.02	0.0150	
Univ: 180	3.32	3.15	0.0429	
Univ: 181	3.56	3.48	0.0003	
Univ: 182	3.05	3.30	0.0023	
Univ: 183	3.19	3.59	0.0755	
Univ: 184	2.91	3.17	0.0592	
Univ: 185	3.53	3.60	0.0012	
Univ: 186	3.64	3.18	0.0348	
Univ: 187	3.74	3.34	0.1146	
Univ: 188	3.25	2.55	1.1583	
Univ: 189	4.17	3.05	9.6988	
Univ: 190	3.62	3.19	0.0561	
Univ: 191	2.80	3.06	0.0006	
Univ: 192	3.34	2.79	3.9773	
Univ: 193	3.71	3.30	0.1298	
Univ: 194	3.58	2.66	5.8177	
Univ: 195	3.35	2.74	7.6397	
Univ: 196	3.05	3.14	0.0286	
Univ: 197	3.17	2.97	0.5847	
Univ: 198	2.98	3.56	0.2290	
Univ: 199	2.75	2.89	21.0149	
Univ: 200	2.93	3.92	0.0015	
Univ: 201	2.84	3.41	0.0048	
Univ: 202	3.30	3.50	0.0749	
Univ: 203	3.15	2.87	14.6963	
Univ: 204	3.63	3.35	0.0003	
Univ: 205	3.17	3.11	0.0208	
Univ: 206	2.74	2.74	5.7900	
Univ: 207	3.55	2.93	0.0095	
Univ: 208	3.22	3.21	0.0022	
Univ: 209	4.11	3.06	0.2263	
Univ: 210	4.01	2.60	1.2614	
Univ: 211	3.08	3.09	0.0861	
Univ: 212	3.83	3.23	0.5203	
Univ: 213	3.36	3.26	0.3046	
Univ: 214	2.85	3.34	0.0161	
Univ: 215	3.22	2.75	14.7436	
Univ: 216	2.72	2.71	2.2251	
Univ: 217	3.19	3.11	0.0002	
Univ: 218	3.36	3.02	0.0075	
Univ: 219	3.09	3.23	0.3756	
Univ: 220	3.64	3.41	0.0001	
Univ: 221	3.36	3.09	0.0126	
Univ: 222	3.28	3.48	0.1208	
Univ: 223	3.58	4.18	0.0000	
Univ: 224	3.72	3.05	0.2889	
Univ: 225	3.36	2.79	1.2883	
Univ: 226	4.03	3.01	0.0537	
Univ: 227	3.39	3.29	0.8044	
Univ: 228	3.19	3.42	0.0001	
Univ: 229	3.95	3.56	0.0262	
Univ: 230	3.47	3.17	0.2674	
