CV:    -1	806.02	742.73	
Univ: 151	835.85	682.16	0.0693	
Univ: 152	812.68	779.37	0.0024	
Univ: 153	796.55	738.07	1.5828	
Univ: 154	809.30	802.85	0.0046	
Univ: 155	862.74	680.44	2.2674	
Univ: 156	792.37	753.44	0.0554	
Univ: 157	828.39	793.75	0.1773	
Univ: 158	820.13	765.33	3.4980	
Univ: 159	861.47	711.40	12.5155	
Univ: 160	766.33	741.89	6.1035	
Univ: 161	759.16	775.13	0.8375	
Univ: 162	915.10	714.90	1.8636	
Univ: 163	783.49	795.60	0.0003	
Univ: 164	809.08	811.69	0.3594	
Univ: 165	751.52	807.33	0.0058	
Univ: 166	691.66	771.83	0.0004	
Univ: 167	926.24	756.68	0.0210	
Univ: 168	792.43	833.35	0.0334	
Univ: 169	835.78	771.57	0.0530	
Univ: 170	709.67	855.08	0.0005	
Univ: 171	782.41	696.48	1.8832	
Univ: 172	878.50	785.53	0.2410	
Univ: 173	906.41	831.17	0.0001	
Univ: 174	896.67	878.68	0.0002	
Univ: 175	835.42	651.71	1.8549	
Univ: 176	853.61	846.03	0.0001	
Univ: 177	788.82	781.37	0.5346	
Univ: 178	862.63	722.11	14.8848	
Univ: 179	660.22	832.77	0.0150	
Univ: 180	790.09	791.65	0.0429	
Univ: 181	909.20	847.98	0.0003	
Univ: 182	845.45	807.51	0.0023	
Univ: 183	789.65	794.90	0.0755	
Univ: 184	703.65	784.56	0.0592	
Univ: 185	830.31	840.66	0.0012	
Univ: 186	926.95	829.18	0.0348	
Univ: 187	951.32	767.10	0.1146	
Univ: 188	817.04	716.11	1.1583	
Univ: 189	968.87	749.50	9.6988	
Univ: 190	744.01	821.79	0.0561	
Univ: 191	747.62	800.63	0.0006	
Univ: 192	859.12	707.15	3.9773	
Univ: 193	840.30	817.14	0.1298	
Univ: 194	795.31	735.60	5.8177	
Univ: 195	835.14	752.16	7.6397	
Univ: 196	889.46	821.47	0.0286	
Univ: 197	736.08	742.66	0.5847	
Univ: 198	741.13	817.38	0.2290	
Univ: 199	811.22	742.30	21.0149	
Univ: 200	733.37	804.85	0.0015	
Univ: 201	774.89	787.10	0.0048	
Univ: 202	898.80	837.12	0.0749	
Univ: 203	841.05	762.37	14.6963	
Univ: 204	880.70	852.88	0.0003	
Univ: 205	733.33	786.43	0.0208	
Univ: 206	740.73	767.52	5.7900	
Univ: 207	892.30	748.13	0.0095	
Univ: 208	752.77	777.55	0.0022	
Univ: 209	912.84	728.42	0.2263	
Univ: 210	883.17	680.33	1.2614	
Univ: 211	769.65	827.92	0.0861	
Univ: 212	871.49	791.60	0.5203	
Univ: 213	860.62	790.63	0.3046	
Univ: 214	780.65	807.25	0.0161	
Univ: 215	853.44	717.55	14.7436	
Univ: 216	741.23	700.18	2.2251	
Univ: 217	710.71	792.36	0.0002	
Univ: 218	767.78	785.15	0.0075	
Univ: 219	798.48	779.95	0.3756	
Univ: 220	883.62	783.51	0.0001	
Univ: 221	890.01	816.51	0.0126	
Univ: 222	771.10	748.90	0.1208	
Univ: 223	824.58	859.00	0.0000	
Univ: 224	928.36	728.89	0.2889	
Univ: 225	799.70	709.67	1.2883	
Univ: 226	964.08	774.56	0.0537	
Univ: 227	840.14	814.02	0.8044	
Univ: 228	801.54	849.61	0.0001	
Univ: 229	959.06	841.38	0.0262	
Univ: 230	795.84	769.29	0.2674	
Univ: 231	709.41	815.82	0.4516	
Univ: 232	831.32	740.27	2.0138	
Univ: 233	859.99	726.92	0.0013	
Univ: 234	787.79	705.60	10.6045	
Univ: 235	880.77	798.80	4.4163	
Univ: 236	904.64	772.35	0.1870	
Univ: 237	823.39	812.52	0.0014	
Univ: 238	797.26	751.44	2.9187	
Univ: 239	800.72	810.92	0.0151	
Univ: 240	804.66	795.44	0.3601	
Univ: 241	861.94	772.34	1.6980	
Univ: 242	809.09	757.25	11.2155	
Univ: 243	825.28	729.34	5.9503	
Univ: 244	805.33	708.12	9.6685	
Univ: 245	828.59	738.83	1.1760	
Univ: 246	754.26	869.04	0.0013	
Univ: 247	827.22	815.82	0.2226	
Univ: 248	780.23	763.17	5.2150	
Univ: 249	934.37	743.99	4.4342	
Univ: 250	760.90	765.94	0.7946	
Univ: 251	796.96	777.28	0.0585	
Univ: 252	810.06	755.95	6.2176	
Univ: 253	744.55	830.76	0.1765	
Univ: 254	805.61	761.15	6.3874	
Univ: 255	825.62	734.12	0.4716	
Univ: 256	782.49	807.89	0.0414	
Univ: 257	765.57	716.19	0.1362	
Univ: 258	835.33	760.65	0.0151	
Univ: 259	804.67	746.26	0.0202	
Univ: 260	834.67	835.67	0.0034	
Univ: 261	762.54	782.56	0.0074	
Univ: 262	795.47	789.58	0.0028	
Univ: 263	888.04	723.79	14.7964	
Univ: 264	804.68	796.61	0.0607	
Univ: 265	878.86	795.75	0.0215	
Univ: 266	768.64	742.90	6.8750	
Univ: 267	721.90	782.81	1.6141	
Univ: 268	738.73	830.61	0.0536	
Univ: 269	823.92	784.89	0.0009	
Univ: 270	802.83	721.67	17.6768	
Univ: 271	856.31	771.68	0.7679	
Univ: 272	870.01	864.58	0.0000	
Univ: 273	752.01	794.73	2.1786	
Univ: 274	776.81	727.60	0.0592	
Univ: 275	830.78	761.14	4.0765	
Univ: 276	843.30	835.85	0.0000	
Univ: 277	815.64	836.33	0.0674	
Univ: 278	726.17	656.33	2.0462	
Univ: 279	874.25	833.17	0.0007	
Univ: 280	960.20	763.61	0.9124	
Univ: 281	776.84	777.51	11.1783	
Univ: 282	835.57	852.49	0.3769	
Univ: 283	727.39	782.01	0.7524	
Univ: 284	775.01	739.83	1.1459	
Univ: 285	767.80	675.34	0.4202	
Univ: 286	824.50	767.46	0.3485	
Univ: 287	792.69	797.77	8.6603	
Univ: 288	812.09	684.92	0.2390	
Univ: 289	877.26	759.31	3.0062	
Univ: 290	770.46	766.47	0.0157	
Univ: 291	744.62	837.13	0.0417	
Univ: 292	925.83	814.66	0.0059	
Univ: 293	857.13	848.22	0.0007	
Univ: 294	772.31	741.93	0.4264	
Univ: 295	874.48	763.09	2.0081	
Univ: 296	845.96	855.41	0.0023	
Univ: 297	777.99	790.30	16.8349	
Univ: 298	910.87	751.15	4.0699	
Univ: 299	858.14	791.17	0.3898	
Univ: 300	852.34	823.19	0.0543	
Univ: 301	879.64	782.49	0.0024	
Univ: 302	802.28	641.66	0.0122	
Univ: 303	837.73	725.59	0.0042	
Univ: 304	782.40	726.28	3.2037	
Univ: 305	791.31	824.57	0.0186	
Univ: 306	735.17	788.89	0.6695	
Univ: 307	800.72	786.57	0.8105	
Univ: 308	692.76	784.67	0.2080	
Univ: 309	682.16	803.94	1.5607	
