CV:    -1	42.83	38.23	
Univ: 151	46.54	35.68	0.0693	
Univ: 152	42.95	40.65	0.0024	
Univ: 153	44.77	36.67	1.5828	
Univ: 154	44.66	43.44	0.0046	
Univ: 155	45.53	34.35	2.2674	
Univ: 156	41.34	41.18	0.0554	
Univ: 157	43.08	43.47	0.1773	
Univ: 158	41.57	40.18	3.4980	
Univ: 159	44.03	36.13	12.5155	
Univ: 160	41.51	37.17	6.1035	
Univ: 161	38.98	40.65	0.8375	
Univ: 162	50.95	39.35	1.8636	
Univ: 163	39.41	40.63	0.0003	
Univ: 164	43.52	40.96	0.3594	
Univ: 165	37.98	43.48	0.0058	
Univ: 166	33.12	39.58	0.0004	
Univ: 167	49.04	38.37	0.0210	
Univ: 168	41.70	43.71	0.0334	
Univ: 169	46.83	41.23	0.0530	
Univ: 170	36.73	49.15	0.0005	
Univ: 171	43.15	35.93	1.8832	
Univ: 172	46.15	39.98	0.2410	
Univ: 173	53.28	44.37	0.0001	
Univ: 174	54.13	48.49	0.0002	
Univ: 175	44.82	32.50	1.8549	
Univ: 176	45.50	44.89	0.0001	
Univ: 177	41.97	41.81	0.5346	
Univ: 178	47.75	36.39	14.8848	
Univ: 179	31.33	46.56	0.0150	
Univ: 180	43.90	41.47	0.0429	
Univ: 181	50.35	44.39	0.0003	
Univ: 182	43.74	43.62	0.0023	
Univ: 183	41.12	44.00	0.0755	
Univ: 184	36.36	42.47	0.0592	
Univ: 185	46.49	45.49	0.0012	
Univ: 186	53.16	45.36	0.0348	
Univ: 187	51.46	39.85	0.1146	
Univ: 188	42.92	36.60	1.1583	
Univ: 189	54.31	39.14	9.6988	
Univ: 190	40.54	43.34	0.0561	
Univ: 191	38.07	42.10	0.0006	
Univ: 192	45.41	36.36	3.9773	
Univ: 193	45.63	43.82	0.1298	
Univ: 194	42.85	35.44	5.8177	
Univ: 195	44.74	38.92	7.6397	
Univ: 196	45.24	41.42	0.0286	
Univ: 197	39.10	38.68	0.5847	
Univ: 198	39.09	42.23	0.2290	
Univ: 199	42.81	39.67	21.0149	
Univ: 200	39.05	42.77	0.0015	
Univ: 201	39.60	41.05	0.0048	
Univ: 202	46.88	44.51	0.0749	
Univ: 203	43.04	39.31	14.6963	
Univ: 204	45.18	44.56	0.0003	
Univ: 205	38.31	38.94	0.0208	
Univ: 206	35.57	39.29	5.7900	
Univ: 207	52.48	38.91	0.0095	
Univ: 208	36.69	40.26	0.0022	
Univ: 209	50.59	37.35	0.2263	
Univ: 210	53.66	35.25	1.2614	
Univ: 211	40.81	45.69	0.0861	
Univ: 212	49.09	42.65	0.5203	
Univ: 213	48.79	42.14	0.3046	
Univ: 214	40.72	44.29	0.0161	
Univ: 215	46.15	37.27	14.7436	
Univ: 216	38.30	37.87	2.2251	
Univ: 217	37.62	41.33	0.0002	
Univ: 218	41.53	39.16	0.0075	
Univ: 219	43.20	38.71	0.3756	
Univ: 220	46.77	40.96	0.0001	
Univ: 221	50.62	41.97	0.0126	
Univ: 222	41.66	38.98	0.1208	
Univ: 223	45.89	45.45	0.0000	
Univ: 224	50.77	39.43	0.2889	
Univ: 225	43.37	37.54	1.2883	
Univ: 226	52.87	41.26	0.0537	
Univ: 227	42.64	44.17	0.8044	
Univ: 228	40.53	45.76	0.0001	
Univ: 229	53.68	46.05	0.0262	
Univ: 230	44.81	43.65	0.2674	
Univ: 231	38.92	42.23	0.4516	
Univ: 232	43.68	35.86	2.0138	
Univ: 233	49.33	37.52	0.0013	
