CV:    -1	1314.88	1182.43	
Univ: 138	1335.78	1238.19	4.9736	
Univ: 139	1255.73	1305.21	0.0012	
Univ: 140	1188.85	1244.62	0.0367	
Univ: 141	1312.11	1244.78	0.2020	
Univ: 142	1251.69	1270.50	0.0157	
Univ: 143	1289.05	1306.95	0.0000	
Univ: 144	1445.40	1267.54	0.0557	
Univ: 145	1176.81	1318.05	0.0159	
Univ: 146	1381.50	1277.39	0.4268	
Univ: 147	1304.10	1234.13	1.3398	
Univ: 148	1376.68	1175.55	30.7099	
Univ: 149	1224.67	1217.06	6.3116	
Univ: 150	1362.52	1187.15	0.4250	
Univ: 151	1300.47	1197.21	0.0693	
Univ: 152	1293.06	1313.47	0.0024	
Univ: 153	1354.98	1235.23	1.5828	
Univ: 154	1232.47	1275.40	0.0046	
Univ: 155	1400.29	1101.28	2.2674	
Univ: 156	1308.00	1307.75	0.0554	
Univ: 157	1398.02	1304.73	0.1773	
Univ: 158	1381.90	1221.42	3.4980	
Univ: 159	1352.06	1202.05	12.5155	
Univ: 160	1350.03	1208.92	6.1035	
Univ: 161	1277.08	1277.48	0.8375	
Univ: 162	1420.02	1225.54	1.8636	
Univ: 163	1248.65	1323.40	0.0003	
Univ: 164	1301.39	1286.20	0.3594	
Univ: 165	1255.31	1300.18	0.0058	
Univ: 166	1131.60	1295.47	0.0004	
Univ: 167	1451.06	1261.12	0.0210	
Univ: 168	1281.14	1301.51	0.0334	
Univ: 169	1327.87	1279.76	0.0530	
Univ: 170	1264.40	1328.45	0.0005	
Univ: 171	1218.85	1215.53	1.8832	
Univ: 172	1398.74	1273.14	0.2410	
Univ: 173	1474.63	1331.76	0.0001	
Univ: 174	1399.34	1315.68	0.0002	
Univ: 175	1343.16	1125.89	1.8549	
Univ: 176	1279.82	1325.97	0.0001	
Univ: 177	1172.65	1270.96	0.5346	
Univ: 178	1290.28	1192.43	14.8848	
Univ: 179	1093.07	1293.15	0.0150	
Univ: 180	1331.66	1243.69	0.0429	
Univ: 181	1371.08	1323.55	0.0003	
Univ: 182	1264.86	1310.91	0.0023	
Univ: 183	1380.05	1269.90	0.0755	
Univ: 184	1196.41	1264.87	0.0592	
Univ: 185	1318.18	1289.51	0.0012	
Univ: 186	1560.86	1293.76	0.0348	
Univ: 187	1504.84	1244.06	0.1146	
Univ: 188	1331.40	1254.06	1.1583	
Univ: 189	1578.28	1162.49	9.6988	
Univ: 190	1280.37	1299.79	0.0561	
Univ: 191	1174.34	1323.94	0.0006	
Univ: 192	1421.26	1196.26	3.9773	
