CV:    -1	23.50	19.17	
Univ: 151	27.18	25.88	0.0693	
Univ: 152	19.86	23.77	0.0024	
Univ: 153	20.97	20.10	1.5828	
Univ: 154	26.24	26.04	0.0046	
Univ: 155	27.95	19.17	2.2674	
Univ: 156	21.75	21.53	0.0554	
Univ: 157	28.35	19.58	0.1773	
Univ: 158	22.20	21.70	3.4980	
Univ: 159	19.63	16.93	12.5155	
Univ: 160	22.03	19.27	6.1035	
Univ: 161	26.26	20.00	0.8375	
Univ: 162	21.91	20.15	1.8636	
Univ: 163	27.77	23.92	0.0003	
Univ: 164	23.74	21.56	0.3594	
Univ: 165	24.77	24.23	0.0058	
Univ: 166	18.78	28.60	0.0004	
Univ: 167	26.03	24.33	0.0210	
Univ: 168	27.19	21.31	0.0334	
Univ: 169	25.30	22.08	0.0530	
Univ: 170	17.49	24.67	0.0005	
Univ: 171	20.87	19.99	1.8832	
Univ: 172	23.24	21.38	0.2410	
Univ: 173	25.07	24.42	0.0001	
Univ: 174	24.03	26.59	0.0002	
Univ: 175	28.77	16.29	1.8549	
Univ: 176	25.93	26.43	0.0001	
Univ: 177	23.06	20.74	0.5346	
Univ: 178	24.47	18.22	14.8848	
Univ: 179	17.39	26.41	0.0150	
Univ: 180	23.00	24.59	0.0429	
Univ: 181	24.47	26.26	0.0003	
Univ: 182	22.19	24.42	0.0023	
Univ: 183	24.22	24.26	0.0755	
Univ: 184	20.29	23.41	0.0592	
Univ: 185	25.00	27.60	0.0012	
Univ: 186	26.10	23.07	0.0348	
Univ: 187	27.69	25.32	0.1146	
Univ: 188	22.88	18.36	1.1583	
Univ: 189	32.72	22.60	9.6988	
Univ: 190	29.26	23.27	0.0561	
Univ: 191	21.35	23.82	0.0006	
Univ: 192	25.86	19.67	3.9773	
Univ: 193	25.79	23.26	0.1298	
Univ: 194	26.90	19.20	5.8177	
Univ: 195	26.31	17.78	7.6397	
Univ: 196	24.04	22.50	0.0286	
Univ: 197	22.18	22.98	0.5847	
Univ: 198	23.75	26.27	0.2290	
Univ: 199	18.35	19.81	21.0149	
Univ: 200	20.99	27.86	0.0015	
Univ: 201	21.15	26.23	0.0048	
Univ: 202	25.67	23.10	0.0749	
Univ: 203	22.28	19.53	14.6963	
Univ: 204	27.42	25.57	0.0003	
Univ: 205	25.00	23.61	0.0208	
Univ: 206	18.19	18.93	5.7900	
Univ: 207	28.08	23.46	0.0095	
Univ: 208	24.28	25.26	0.0022	
Univ: 209	29.92	24.09	0.2263	
Univ: 210	28.77	19.54	1.2614	
Univ: 211	21.83	21.92	0.0861	
Univ: 212	26.80	23.06	0.5203	
Univ: 213	21.41	22.21	0.3046	
Univ: 214	20.27	24.20	0.0161	
Univ: 215	23.08	18.56	14.7436	
Univ: 216	17.26	20.42	2.2251	
Univ: 217	23.27	24.78	0.0002	
Univ: 218	24.90	22.30	0.0075	
Univ: 219	19.97	22.92	0.3756	
Univ: 220	26.40	26.90	0.0001	
Univ: 221	22.61	24.17	0.0126	
Univ: 222	24.14	25.23	0.1208	
Univ: 223	24.55	32.72	0.0000	
Univ: 224	28.53	22.18	0.2889	
Univ: 225	21.95	20.00	1.2883	
Univ: 226	27.99	21.12	0.0537	
Univ: 227	25.11	21.92	0.8044	
Univ: 228	20.15	25.62	0.0001	
Univ: 229	27.15	25.42	0.0262	
Univ: 230	25.51	21.00	0.2674	
Univ: 231	20.09	24.14	0.4516	
Univ: 232	29.94	19.27	2.0138	
Univ: 233	20.97	27.26	0.0013	
Univ: 234	23.51	20.35	10.6045	
Univ: 235	27.49	19.48	4.4163	
Univ: 236	26.45	20.88	0.1870	
Univ: 237	20.81	27.19	0.0014	
Univ: 238	27.17	20.51	2.9187	
Univ: 239	25.70	23.40	0.0151	
Univ: 240	20.94	21.42	0.3601	
Univ: 241	23.86	18.61	1.6980	
Univ: 242	24.96	19.38	11.2155	
Univ: 243	24.42	19.93	5.9503	
Univ: 244	23.66	18.06	9.6685	
Univ: 245	24.53	20.68	1.1760	
Univ: 246	21.56	26.54	0.0013	
Univ: 247	23.54	19.98	0.2226	
Univ: 248	29.66	16.81	5.2150	
Univ: 249	28.82	22.23	4.4342	
Univ: 250	25.44	18.87	0.7946	
Univ: 251	26.94	24.02	0.0585	
Univ: 252	21.98	19.06	6.2176	
Univ: 253	20.35	23.61	0.1765	
Univ: 254	26.18	19.31	6.3874	
Univ: 255	22.45	21.12	0.4716	
Univ: 256	24.36	23.49	0.0414	
Univ: 257	21.51	24.94	0.1362	
Univ: 258	25.04	23.57	0.0151	
Univ: 259	26.19	22.65	0.0202	
Univ: 260	28.38	25.99	0.0034	
Univ: 261	21.52	24.51	0.0074	
Univ: 262	21.94	24.61	0.0028	
Univ: 263	30.67	18.88	14.7964	
Univ: 264	17.07	21.04	0.0607	
Univ: 265	21.70	27.91	0.0215	
Univ: 266	17.97	20.68	6.8750	
Univ: 267	19.62	24.97	1.6141	
Univ: 268	22.70	24.38	0.0536	
Univ: 269	23.25	26.75	0.0009	
Univ: 270	23.61	18.54	17.6768	
Univ: 271	27.70	19.14	0.7679	
Univ: 272	29.83	28.27	0.0000	
Univ: 273	27.76	21.34	2.1786	
Univ: 274	23.33	23.86	0.0592	
Univ: 275	21.32	21.04	4.0765	
Univ: 276	23.57	29.33	0.0000	
Univ: 277	23.11	26.32	0.0674	
Univ: 278	24.98	14.76	2.0462	
Univ: 279	24.20	27.26	0.0007	
Univ: 280	29.58	20.71	0.9124	
Univ: 281	26.47	19.43	11.1783	
Univ: 282	25.86	22.80	0.3769	
Univ: 283	19.31	19.04	0.7524	
Univ: 284	22.55	22.57	1.1459	
Univ: 285	29.03	20.54	0.4202	
Univ: 286	27.00	25.39	0.3485	
Univ: 287	21.34	19.73	8.6603	
Univ: 288	23.13	22.38	0.2390	
Univ: 289	30.10	21.38	3.0062	
Univ: 290	26.74	25.22	0.0157	
Univ: 291	26.98	21.05	0.0417	
Univ: 292	31.08	24.30	0.0059	
Univ: 293	24.55	25.93	0.0007	
Univ: 294	23.18	24.10	0.4264	
Univ: 295	24.08	21.56	2.0081	
Univ: 296	27.93	27.06	0.0023	
Univ: 297	25.30	18.12	16.8349	
Univ: 298	27.21	17.32	4.0699	
Univ: 299	26.29	19.83	0.3898	
Univ: 300	25.57	22.78	0.0543	
Univ: 301	22.88	24.44	0.0024	
Univ: 302	24.05	24.50	0.0122	
Univ: 303	22.88	26.54	0.0042	
Univ: 304	22.33	21.13	3.2037	
Univ: 305	20.59	23.59	0.0186	
Univ: 306	18.87	22.53	0.6695	
Univ: 307	19.88	23.23	0.8105	
Univ: 308	20.98	21.64	0.2080	
Univ: 309	25.88	23.13	1.5607	
Univ: 310	18.98	20.33	7.1465	
Univ: 311	24.16	21.55	0.0209	
Univ: 312	23.77	24.73	0.0804	
Univ: 313	20.10	22.50	4.3513	
Univ: 314	22.31	26.15	0.0067	
Univ: 315	28.33	23.60	0.0063	
Univ: 316	25.79	21.54	1.6807	
Univ: 317	26.04	23.52	0.2922	
Univ: 318	19.17	26.20	0.0008	
Univ: 319	21.53	18.60	13.8434	
Univ: 320	19.58	26.31	0.1130	
Univ: 321	21.70	20.46	0.2586	
Univ: 322	16.93	20.49	1.1302	
Univ: 323	25.02	21.47	0.9110	
Univ: 324	19.27	22.53	0.1457	
Univ: 325	24.76	24.58	0.0327	
Univ: 326	20.00	28.21	0.0002	
Univ: 327	34.12	23.43	0.0201	
Univ: 328	20.85	21.19	0.8027	
Univ: 329	20.15	24.24	0.4880	
Univ: 330	23.92	25.13	0.1981	
Univ: 331	21.56	26.05	0.0477	
Univ: 332	29.11	24.50	0.0125	
Univ: 333	31.57	22.69	0.2264	
Univ: 334	28.13	19.36	13.6813	
Univ: 335	26.06	19.92	0.0244	
Univ: 336	24.23	21.81	0.0887	
Univ: 337	28.60	19.39	16.7803	
Univ: 338	24.33	18.86	22.4286	
Univ: 339	24.21	22.58	0.1759	
Univ: 340	21.31	23.66	0.8105	
Univ: 341	21.12	22.59	0.4612	
Univ: 342	22.08	26.31	0.0024	
Univ: 343	24.67	21.51	0.0735	
Univ: 344	19.50	20.25	2.7639	
Univ: 345	19.99	20.40	0.5048	
Univ: 346	30.46	19.88	0.1904	
Univ: 347	22.89	23.04	0.1014	
Univ: 348	29.17	23.37	0.6703	
Univ: 349	21.38	27.02	0.0007	
Univ: 350	26.23	22.75	5.6875	
Univ: 351	24.42	22.92	0.6352	
Univ: 352	33.19	23.76	1.1435	
Univ: 353	26.59	24.92	0.2372	
Univ: 354	16.29	17.40	0.6716	
Univ: 355	28.41	23.00	0.0343	
Univ: 356	20.85	18.32	4.7618	
Univ: 357	31.41	20.78	5.4689	
Univ: 358	26.43	27.52	0.0030	
Univ: 359	20.74	24.26	0.0117	
Univ: 360	18.22	23.10	0.0235	
Univ: 361	24.91	18.85	1.1331	
